Year,Volume,Value,GDP,Series Code,Financial Inclusion
2022,45658.50499999998,3835072.6600000006,,,
2022,45658.50499999998,3835072.6600000006,,,
2022,45658.50499999998,3835072.6600000006,,,
2022,45658.50499999998,3835072.6600000006,,,
2022,45658.50499999998,3835072.6600000006,,,
2022,45658.50499999998,3835072.6600000006,3385089881935.39,,
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,,fin14b.t.d.8,12.12
2021,12233.179999999998,4722.95,,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,,fin14b.t.d.8,12.12
2021,12233.179999999998,4722.95,,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.8,12.12
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,,fin14b.t.d.8,12.12
2021,12233.179999999998,4722.95,,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,3150306834279.65,,
2021,12233.179999999998,4722.95,3150306834279.65,,
2021,12233.179999999998,4722.95,3150306834279.65,,
2021,12233.179999999998,4722.95,3150306834279.65,,
2021,12233.179999999998,4722.95,3150306834279.65,,
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.8,12.12
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,3150306834279.65,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,,fin14b.t.d.11,6.28
2021,12233.179999999998,4722.95,,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,,fin14b.t.d.10,11.16
2021,12233.179999999998,4722.95,,fin14b.t.d.6,20.0
2021,12233.179999999998,4722.95,,fin14b.t.d.3,10.87
2021,12233.179999999998,4722.95,,fin14b.t.d.5,2.61
2021,12233.179999999998,4722.95,,fin14b.t.d.9,5.79
2021,12233.179999999998,4722.95,,fin14b.t.d.4,7.31
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d.2,11.26
2021,12233.179999999998,4722.95,,,
2021,12233.179999999998,4722.95,,fin14b.t.d,8.28
2021,12233.179999999998,4722.95,,fin14b.t.d.1,5.09
2021,12233.179999999998,4722.95,,fin14b.t.d.12,9.9
2021,12233.179999999998,4722.95,,fin14b.t.d.7,2.52
2021,12233.179999999998,4722.95,,fin14b.t.d.8,12.12
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,2671595389575.7,,
2020,,,,,
2019,,,,,
2019,,,2835606242052.48,,
2019,,,,,
2019,,,,,
2019,,,,,
2019,,,,,
2018,,,,,
2018,,,,,
2018,,,,,
2018,,,,,
2018,,,,,
2018,,,2702929639861.5,,
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.3,4.05
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,2651474263257.15,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,fin14b.t.d.12,3.3
2017,,,,fin14b.t.d.1,1.93
2017,,,,fin14b.t.d,2.86
2017,,,,fin14b.t.d,2.86
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.1,1.93
2017,,,,,
2017,,,2651474263257.15,fin14b.t.d,2.86
2017,,,2651474263257.15,fin14b.t.d.1,1.93
2017,,,2651474263257.15,fin14b.t.d.12,3.3
2017,,,2651474263257.15,fin14b.t.d.7,0.29
2017,,,2651474263257.15,fin14b.t.d.8,4.57
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.12,3.3
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,2651474263257.15,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.7,0.29
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.12,3.3
2017,,,,,
2017,,,,fin14b.t.d.1,1.93
2017,,,,fin14b.t.d,2.86
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,fin14b.t.d.3,4.05
2017,,,2651474263257.15,fin14b.t.d.10,..
2017,,,2651474263257.15,fin14b.t.d.6,5.72
2017,,,2651474263257.15,fin14b.t.d.9,..
2017,,,2651474263257.15,fin14b.t.d.5,0.32
2017,,,,,
2017,,,,fin14b.t.d,2.86
2017,,,,fin14b.t.d.6,5.72
2017,,,,,
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,fin14b.t.d.12,3.3
2017,,,,fin14b.t.d.1,1.93
2017,,,,fin14b.t.d,2.86
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.1,1.93
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,fin14b.t.d.12,3.3
2017,,,2651474263257.15,fin14b.t.d.4,2.41
